,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
119,Wendel Clark,32,TBL,LW,65,28,14,42,-25,35,4.8,17,11,0,2,10,4,0,171,16.4,1016,15:38,clarkwe01
119,Wendel Clark,32,DET,LW,12,4,2,6,1,2,0.7,4,0,0,1,2,0,0,44,9.1,204,17:01,clarkwe01
120,Dan Cleary,20,CHI,LW,35,4,5,9,-1,24,0.4,4,0,0,0,5,0,0,49,8.2,502,14:21,clearda01
121,Sylvain Cloutier,24,CHI,C,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,38,5:28,cloutsy01
122,Paul Coffey*,37,TOT,D,54,2,12,14,-7,28,1.9,1,1,0,0,6,6,0,87,2.3,1020,18:53,coffepa01
122,Paul Coffey*,37,CAR,D,44,2,8,10,-1,28,1.9,1,1,0,0,5,3,0,79,2.5,866,19:41,coffepa01
122,Paul Coffey*,37,CHI,D,10,0,4,4,-6,0,0.1,0,0,0,0,1,3,0,8,0,154,15:22,coffepa01
123,Craig Conroy,27,STL,C,69,14,25,39,14,38,4.1,13,0,1,1,23,0,2,134,10.4,1149,16:39,conrocr01
124,Brandon Convery,24,TOT,C,15,2,7,9,4,12,1.1,2,0,0,1,4,3,0,14,14.3,156,10:25,convebr01
124,Brandon Convery,24,VAN,C,12,2,7,9,5,8,1.2,2,0,0,1,4,3,0,12,16.7,127,10:37,convebr01
124,Brandon Convery,24,LAK,C,3,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0,29,9:39,convebr01
125,Matt Cooke,20,VAN,LW,30,0,2,2,-12,27,-0.6,0,0,0,0,2,0,0,22,0,244,8:07,cookema01
126,Rene Corbet,25,TOT,LW,73,13,18,31,1,68,2.8,10,3,0,1,11,7,0,127,10.2,979,13:25,corbere01
126,Rene Corbet,25,COL,LW,53,8,14,22,3,58,2.1,6,2,0,1,8,6,0,82,9.8,617,11:39,corbere01
126,Rene Corbet,25,CGY,LW,20,5,4,9,-2,10,0.7,4,1,0,0,3,1,0,45,11.1,362,18:05,corbere01
127,Bob Corkum,31,PHX,C,77,9,10,19,-9,17,0.4,9,0,0,0,9,0,1,146,6.2,1328,17:15,corkubo01
128,Shayne Corson,32,MTL,LW,63,12,20,32,-10,147,2.4,5,7,0,4,11,9,0,142,8.5,1304,20:42,corsosh01
129,Patrick Cote,24,NSH,LW,70,1,2,3,-7,242,-0.4,1,0,0,0,2,0,0,21,4.8,296,4:14,cotepa01
130,Sylvain Cote,33,TOR,D,79,5,24,29,22,28,5.2,5,0,0,1,15,9,0,119,4.2,1664,21:04,cotesy01
131,Geoff Courtnall,36,STL,LW,24,5,7,12,2,28,1.2,4,1,0,2,5,2,0,60,8.3,355,14:48,courtge01
132,Russ Courtnall,33,LAK,RW,57,6,13,19,-9,19,1.1,5,0,1,1,12,0,1,77,7.8,858,15:03,courtru01
133,Mike Craig,27,SJS,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,11,11:25,craigmi01
134,Murray Craven,34,SJS,LW,43,4,10,14,-3,18,0.8,3,0,1,1,7,3,0,55,7.3,621,14:26,cravemu01
135,Cory Cross,28,TBL,D,67,2,16,18,-25,92,1.9,2,0,0,0,10,5,1,96,2.1,1516,22:38,crossco01
136,Phil Crowe,28,OTT,LW,8,0,1,1,1,4,0.1,0,0,0,0,1,0,0,2,0,33,4:10,croweph01
137,Mike Crowley,23,MDA,D,20,2,3,5,-10,16,0.4,1,1,0,1,1,2,0,41,4.9,332,16:36,crowlmi01
138,Ted Crowley,28,TOT,D,13,1,2,3,-1,2,0.5,0,1,0,0,0,2,0,20,5,140,10:47,crowlte01
138,Ted Crowley,28,COL,D,7,0,1,1,-1,2,0.1,0,0,0,0,0,1,0,10,0,49,7:00,crowlte01
138,Ted Crowley,28,NYI,D,6,1,1,2,0,0,0.4,0,1,0,0,0,1,0,10,10,91,15:11,crowlte01
139,John Cullen,34,TBL,C,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,3,0,51,12:42,cullejo01
140,Matt Cullen,22,MDA,C,75,11,14,25,-12,47,1.6,5,5,1,1,12,2,0,112,9.8,1164,15:31,cullema01
141,Jassen Cullimore,26,TBL,D,78,5,12,17,-22,81,2.4,3,1,1,1,9,3,0,73,6.8,1578,20:14,cullija01
142,Jim Cummins,28,PHX,RW,55,1,7,8,3,190,0.4,1,0,0,0,7,0,0,26,3.8,391,7:07,cummiji01
143,Randy Cunneyworth,37,BUF,LW,14,2,2,4,1,0,0.5,2,0,0,1,2,0,0,12,16.7,126,8:58,cunnera01
144,Mariusz Czerkawski,26,NYI,RW,78,21,17,38,-10,14,4.2,17,4,0,1,12,5,0,205,10.2,1115,14:18,czerkma01
145,Andreas Dackell,26,OTT,RW,77,15,35,50,9,30,4.9,9,6,0,3,25,10,0,107,14,1332,17:18,dackean01
146,Kevin Dahl,30,TOR,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,46,15:19,dahlke01
147,Alexandre Daigle,23,TOT,C,63,9,8,17,-13,4,1.1,5,4,0,1,4,4,0,82,11,695,11:02,daiglal02
147,Alexandre Daigle,23,TBL,C,32,6,6,12,-12,2,0.7,3,3,0,0,2,4,0,56,10.7,447,13:59,daiglal02
147,Alexandre Daigle,23,PHI,C,31,3,2,5,-1,2,0.4,2,1,0,1,2,0,0,26,11.5,247,7:59,daiglal02
148,J.J. Daigneault,33,TOT,D,70,2,9,11,-12,70,1.7,1,1,0,1,9,0,0,65,3.1,1357,19:24,daignjj01
148,J.J. Daigneault,33,NSH,D,35,2,2,4,-4,38,0.9,1,1,0,1,2,0,0,38,5.3,727,20:47,daignjj01
148,J.J. Daigneault,33,PHX,D,35,0,7,7,-8,32,0.8,0,0,0,0,7,0,0,27,0,630,18:00,daignjj01
149,Vincent Damphousse,31,TOT,C,77,19,30,49,-4,50,4.7,11,6,2,3,15,14,1,190,10,1561,20:17,damphvi01
149,Vincent Damphousse,31,MTL,C,65,12,24,36,-7,46,2.9,7,3,2,2,13,10,1,147,8.2,1329,20:27,damphvi01
