,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
842,Jimmy Vesey,23,NYR,LW,80,16,11,27,-13,26,2.2,11,5,0,6,8,3,0,116,13.8,1091,13:38,37,64,2,5,28.6,veseyji02
843,Linden Vey,25,CGY,RW,4,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,1,0,44,11:01,0,1,9,15,37.5,veyli01
844,Jake Virtanen,20,VAN,RW,10,0,1,1,1,2,0,0,0,0,0,1,0,0,13,0,101,10:09,4,17,3,0,100,virtaja01
845,Marc-Edouard Vlasic,29,SJS,D,75,6,22,28,4,35,5.8,5,1,0,2,15,6,1,144,4.2,1593,21:14,144,18,0,0,,vlasima01
846,Jakub Voracek,27,PHI,RW,82,20,41,61,-24,56,5.6,15,5,0,3,23,18,0,253,7.9,1565,19:05,22,30,3,11,21.4,voracja01
847,Jakub Vrana,20,WSH,LW,21,3,3,6,2,2,0.6,0,3,0,2,2,1,0,32,9.4,233,11:07,7,6,0,3,0,vranaja01
848,Radim Vrbata,35,ARI,RW,81,20,35,55,-18,16,5.3,16,4,0,4,24,11,0,233,8.6,1369,16:54,31,48,17,30,36.2,vrbatra01
849,Chris Wagner,25,ANA,C,43,6,1,7,2,6,0.9,6,0,0,0,1,0,0,40,15,402,9:21,24,112,62,86,41.9,wagnech01
850,Lucas Wallmark,21,CAR,C,8,0,2,2,1,2,0.1,0,0,0,0,2,0,0,11,0,87,10:52,3,14,31,27,53.4,wallmlu01
851,Joel Ward,36,SJS,RW,78,10,19,29,-2,30,2.2,7,1,2,2,17,2,0,105,9.5,1244,15:57,56,61,222,233,48.8,wardjo02
852,David Warsofsky,26,PIT,D,7,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,14,0,110,15:44,12,3,0,0,,warsoda01
853,Austin Watson,25,NSH,LW,77,5,12,17,14,99,1.4,5,0,0,0,11,0,1,90,5.6,957,12:26,66,143,17,25,40.5,watsoau01
854,Jordan Weal,24,PHI,C,23,8,4,12,5,10,1.9,7,1,0,1,4,0,0,49,16.3,329,14:19,8,7,14,14,50,wealjo01
855,Shea Weber,31,MTL,D,78,17,25,42,20,38,10.1,5,12,0,4,13,10,2,183,9.3,1955,25:04:00,157,140,0,0,,webersh01
856,Yannick Weber,28,NSH,D,73,1,7,8,1,25,1.7,1,0,0,1,7,0,0,72,1.4,870,11:55,53,72,0,0,,weberya01
857,MacKenzie Weegar,23,FLA,D,3,0,0,0,0,4,0.1,0,0,0,0,0,0,0,3,0,52,17:27,1,4,0,0,,weegama01
