,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
158,Marko Da?o,22,WPG,C,38,4,7,11,0,10,0.9,2,2,0,0,7,0,0,44,9.1,406,10:41,14,83,1,3,25,danoma01
159,Laurent Dauphin,21,ARI,C,24,2,1,3,-2,12,0,1,0,1,1,1,0,0,32,6.3,262,10:55,11,32,37,45,45.1,dauphla01
160,Brandon Davidson,25,TOT,D,38,0,3,3,-2,20,0.7,0,0,0,0,3,0,0,42,0,597,15:43,61,42,0,0,,davidbr01
160,Brandon Davidson,25,EDM,D,28,0,1,1,1,16,0.5,0,0,0,0,1,0,0,29,0,431,15:24,46,31,0,0,,davidbr01
160,Brandon Davidson,25,MTL,D,10,0,2,2,-3,4,0.1,0,0,0,0,2,0,0,13,0,166,16:38,15,11,0,0,,davidbr01
161,Calvin de Haan,25,NYI,D,82,5,20,25,15,36,5.4,4,1,0,1,19,1,0,116,4.3,1628,19:51,190,139,0,0,,dehaaca01
162,Jacob de La Rose,21,MTL,LW,9,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,4,0,98,10:54,5,23,17,17,50,delarja01
163,Jean-Sebastien Dea,22,PIT,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,11,11:18,0,3,1,1,50,deaje01
164,Anthony DeAngelo,21,ARI,D,39,5,9,14,-13,37,1.7,3,2,0,1,3,6,0,60,8.3,667,17:06,48,31,0,0,,deangan01
165,Danny DeKeyser,26,DET,D,82,4,8,12,-22,33,2,4,0,0,2,8,0,0,85,4.7,1800,21:57,170,100,0,0,,dekeyda01
166,Michael Del Zotto,26,PHI,D,51,6,12,18,-5,28,3.5,6,0,0,0,10,1,1,92,6.5,995,19:30,85,173,0,1,0,delzomi01
167,Dylan DeMelo,23,SJS,D,25,1,7,8,2,14,1.6,1,0,0,0,7,0,0,32,3.1,397,15:54,32,36,0,0,,demeldy01
168,Jason Demers,28,FLA,D,81,9,19,28,-14,53,4.9,9,0,0,2,12,5,2,98,9.2,1588,19:37,90,106,0,1,0,demerja01
169,David Desharnais,30,TOT,C,49,6,8,14,4,12,1.4,6,0,0,1,6,2,0,46,13,610,12:28,15,5,170,162,51.2,deshada01
169,David Desharnais,30,MTL,C,31,4,6,10,5,6,1.1,4,0,0,1,4,2,0,30,13.3,406,13:06,6,2,76,83,47.8,deshada01
169,David Desharnais,30,EDM,C,18,2,2,4,-1,6,0.3,2,0,0,0,2,0,0,16,12.5,204,11:21,9,3,94,79,54.3,deshada01
170,Andrew Desjardins,30,CHI,LW,46,0,1,1,-6,22,-1,0,0,0,0,1,0,0,46,0,432,9:24,17,73,39,30,56.5,desjaan01
171,Nicolas Deslauriers,25,BUF,LW,42,0,2,2,-6,38,-0.5,0,0,0,0,2,0,0,26,0,311,7:25,5,109,0,3,0,deslani01
172,Simon Despres,25,ANA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,16:08,1,1,0,0,,desprsi01
173,Phillip Di Giuseppe,23,CAR,LW,36,1,6,7,-12,15,-0.3,1,0,0,1,5,1,0,68,1.5,443,12:18,10,91,0,2,0,digiuph01
174,Jason Dickinson,21,DAL,C,10,2,0,2,-3,0,0.1,2,0,0,0,0,0,0,9,22.2,118,11:47,4,8,4,9,30.8,dickija01
175,Christopher Didomenico,27,OTT,RW,3,0,0,0,0,6,-0.1,0,0,0,0,0,0,0,5,0,33,11:01,2,2,2,1,66.7,didomch01
176,Brenden Dillon,26,SJS,D,81,2,8,10,-2,60,2.6,2,0,0,0,8,0,0,86,2.3,1334,16:28,81,173,0,0,,dillobr01
177,Shane Doan,40,ARI,RW,74,6,21,27,-3,48,1.7,3,3,0,0,19,2,0,144,4.2,1114,15:03,22,101,94,105,47.2,doansh01
178,Max Domi,21,ARI,LW,59,9,29,38,-9,40,3.2,8,1,0,1,22,7,0,108,8.3,1002,16:59,21,28,5,5,50,domima01
179,Joonas Donskoi,24,SJS,RW,61,6,11,17,-5,10,1,5,1,0,0,8,3,0,95,6.3,842,13:49,27,27,8,8,50,donskjo01
180,Derek Dorsett,30,VAN,RW,14,1,3,4,-6,33,0.1,1,0,0,0,3,0,0,24,4.2,139,9:56,6,35,1,0,100,dorsede01
181,Jake Dotchin,22,TBL,D,35,0,11,11,10,35,2.7,0,0,0,0,11,0,0,50,0,645,18:26,19,85,0,0,,dotchja01
182,Drew Doughty,27,LAK,D,82,12,32,44,8,46,10.5,7,5,0,1,17,14,1,181,6.6,2226,27:09:00,109,129,1,0,100,doughdr01
183,Nic Dowd,26,LAK,C,70,6,16,22,-15,25,1.3,5,1,0,2,9,7,0,78,7.7,872,12:27,35,145,338,369,47.8,dowdni01
184,Justin Dowling,26,DAL,C,9,0,2,2,0,2,0,0,0,0,0,1,1,0,11,0,94,10:28,0,1,38,31,55.1,dowliju01
185,Leon Draisaitl,21,EDM,C,82,29,48,77,7,20,9.6,19,10,0,5,31,17,0,172,16.9,1548,18:53,36,41,476,496,49,draisle01
186,Jonathan Drouin,21,TBL,LW,73,21,32,53,-13,16,5.5,12,9,0,6,15,17,0,183,11.5,1293,17:42,16,50,96,124,43.6,drouijo01
187,Brandon Dubinsky,30,CBJ,C,80,12,29,41,16,91,4.1,10,1,1,5,26,3,0,115,10.4,1432,17:54,60,248,770,718,51.7,dubinbr01
188,Matt Duchene,26,COL,C,77,18,23,41,-34,12,3.1,14,3,1,3,17,6,0,160,11.3,1409,18:18,41,42,687,411,62.6,duchema01
189,Anthony Duclair,21,ARI,LW,58,5,10,15,-7,14,0.7,5,0,0,1,8,2,0,76,6.6,771,13:18,17,22,4,4,50,duclaan01
190,Mathew Dumba,22,MIN,D,76,11,23,34,15,59,6.9,5,6,0,1,16,6,1,131,8.4,1545,20:20,71,96,0,0,,dumbama01
191,Gabriel Dumont,26,TBL,C,39,2,2,4,1,29,0.1,2,0,0,0,2,0,0,34,5.9,377,9:40,19,83,133,109,55,dumonga01
192,Brian Dumoulin,25,PIT,D,70,1,14,15,0,14,1.7,1,0,0,0,10,4,0,78,1.3,1438,20:33,99,113,0,0,,dumoubr01
193,Christian Dvorak,20,ARI,C,78,15,18,33,7,22,3.6,13,2,0,1,15,3,0,88,17,1218,15:37,56,72,471,535,46.8,dvorach01
194,Ryan Dzingel,24,OTT,LW,81,14,18,32,7,30,3.5,12,1,1,1,16,2,0,123,11.4,1165,14:23,21,71,9,21,30,dzingry01
195,Cody Eakin,25,DAL,C,60,3,9,12,-7,49,-0.5,3,0,0,1,7,2,0,82,3.7,1009,16:49,39,65,524,477,52.3,eakinco01
196,Patrick Eaves,32,TOT,RW,79,32,19,51,-2,24,6.9,19,13,0,2,14,5,0,209,15.3,1296,16:25,43,89,2,2,50,eavespa01
196,Patrick Eaves,32,DAL,RW,59,21,16,37,-10,16,4.2,10,11,0,1,11,5,0,154,13.6,982,16:39,32,60,2,2,50,eavespa01
196,Patrick Eaves,32,ANA,RW,20,11,3,14,8,8,2.6,9,2,0,1,3,0,0,55,20,314,15:42,11,29,0,0,,eavespa01
197,Jordan Eberle,26,EDM,RW,82,20,31,51,3,16,5.7,16,4,0,0,21,10,0,208,9.6,1375,16:46,37,26,10,10,50,eberljo01
198,Alexander Edler,30,VAN,D,68,6,15,21,-20,36,3.6,4,2,0,0,13,2,0,138,4.3,1653,24:19:00,138,106,2,1,66.7,edleral01
199,Joel Edmundson,23,STL,D,69,3,12,15,11,60,4.2,3,0,0,1,12,0,0,81,3.7,1226,17:46,95,122,0,0,,edmunjo01
200,Nikolaj Ehlers,20,WPG,LW,82,25,39,64,1,38,7.2,20,5,0,4,32,7,0,204,12.3,1434,17:29,28,43,0,4,0,ehlerni01
201,Jack Eichel,20,BUF,C,61,24,33,57,-13,22,6.6,14,10,0,4,19,14,0,249,9.6,1215,19:55,35,26,310,486,38.9,eicheja01
202,Aaron Ekblad,20,FLA,D,68,10,11,21,-23,58,3.4,5,4,1,2,7,4,0,225,4.4,1459,21:28,62,88,0,0,,ekblaaa01
203,Mattias Ekholm,26,NSH,D,82,3,20,23,4,34,4.6,3,0,0,1,16,3,1,120,2.5,1924,23:28,108,61,0,0,,ekholma01
204,Oliver Ekman-Larsson,25,ARI,D,79,12,27,39,-25,48,5.6,4,8,0,1,16,11,0,145,8.3,1945,24:37:00,85,112,0,0,,ekmanol01
205,Remi Elie,21,DAL,LW,18,1,6,7,5,8,0.6,1,0,0,0,6,0,0,15,6.7,281,15:38,11,30,1,0,100,eliere01
206,Lars Eller,27,WSH,C,81,12,13,25,15,36,2.6,11,0,1,2,12,1,0,115,10.4,1126,13:54,30,71,416,467,47.1,ellerla01
207,Ryan Ellis,26,NSH,D,71,16,22,38,17,29,8.7,11,4,1,3,13,7,2,140,11.4,1701,23:57,137,64,0,0,,ellisry01
208,Alexei Emelin,30,MTL,D,76,2,8,10,1,71,3,2,0,0,0,8,0,0,82,2.4,1620,21:19,127,241,0,0,,emelial01
209,Deryk Engelland,34,CGY,D,81,4,12,16,2,85,3.9,4,0,0,2,12,0,0,107,3.7,1485,18:20,134,135,1,0,100,engelde01
210,Andreas Englund,21,OTT,D,5,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,0,53,10:38,0,18,0,0,,engluan01
211,Tyler Ennis,27,BUF,LW,51,5,8,13,-10,12,0.6,5,0,0,1,5,3,0,89,5.6,655,12:50,23,45,3,13,18.8,ennisty01
212,Toby Enström,32,WPG,D,60,1,13,14,-7,42,1.3,0,0,1,0,7,6,0,46,2.2,1314,21:54,94,24,0,0,,enstrto01
213,Jonathan Ericsson,32,DET,D,51,1,8,9,-2,63,2.1,1,0,0,0,8,0,0,43,2.3,980,19:13,36,86,0,0,,ericsjo01
214,Loui Eriksson,31,VAN,LW,65,11,13,24,-9,8,1.8,6,5,0,1,10,2,1,132,8.3,1214,18:41,26,11,0,1,0,erikslo01
215,Joel Eriksson Ek,20,MIN,LW,15,3,4,7,1,4,0.8,3,0,0,1,4,0,0,15,20,159,10:37,8,23,45,64,41.3,eriksjo02
216,Adam Erne,21,TBL,LW,26,3,0,3,-9,11,-0.2,3,0,0,0,0,0,0,40,7.5,307,11:48,13,71,0,2,0,ernead01
217,Emerson Etem,24,ANA,LW,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,26,8:48,0,4,0,1,0,etemem01
218,Robby Fabbri,21,STL,C,51,11,18,29,-16,27,2.5,7,4,0,0,13,5,0,91,12.1,796,15:37,14,64,13,11,54.2,fabbrro01
219,Radek Faksa,23,DAL,C,80,12,21,33,-6,67,2.4,12,0,0,0,19,2,0,132,9.1,1294,16:10,62,101,590,632,48.3,faksara01
220,Justin Falk,28,BUF,D,52,0,8,8,-3,29,1.5,0,0,0,0,8,0,0,33,0,712,13:42,40,101,1,0,100,falkju01
221,Bobby Farnham,28,MTL,RW,3,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,25,8:16,2,8,1,0,100,farnhbo01
222,Hudson Fasching,21,BUF,RW,10,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,6,0,104,10:25,2,17,0,0,,faschhu01
223,Jesper Fast,25,NYR,RW,68,6,15,21,6,16,1.5,6,0,0,1,15,0,0,56,10.7,938,13:48,44,99,17,27,38.6,fastje01
224,Justin Faulk,24,CAR,D,75,17,20,37,-18,32,6.6,13,4,0,2,11,9,0,225,7.6,1736,23:08,84,117,0,0,,faulkju01
225,Mark Fayne,29,EDM,D,4,0,2,2,1,0,0.3,0,0,0,0,2,0,0,4,0,32,7:55,2,1,0,0,,faynema01
226,Taylor Fedun,28,BUF,D,27,0,7,7,3,16,1.5,0,0,0,0,4,3,0,24,0,361,13:22,20,7,0,0,,fedunta01
227,Eric Fehr,31,TOT,C,53,6,5,11,2,14,0.7,6,0,0,3,5,0,0,62,9.7,579,10:56,35,82,79,76,51,fehrer01
227,Eric Fehr,31,PIT,C,52,6,5,11,3,14,0.8,6,0,0,3,5,0,0,61,9.8,568,10:56,34,78,75,76,49.7,fehrer01
227,Eric Fehr,31,TOR,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,11,10:44,1,4,4,0,100,fehrer01
228,Micheal Ferland,24,CGY,LW,76,15,10,25,-1,50,2.9,13,2,0,1,8,2,0,106,14.2,879,11:34,26,149,3,4,42.9,ferlami01
229,Kevin Fiala,20,NSH,LW,54,11,5,16,1,18,1.8,11,0,0,1,5,0,0,114,9.6,730,13:31,14,44,0,0,,fialake01
230,Vernon Fiddler,36,TOT,LW,59,2,2,4,-15,66,-1,1,0,1,0,2,0,0,48,4.2,687,11:39,33,57,370,316,53.9,fiddlve01
230,Vernon Fiddler,36,NJD,LW,39,1,2,3,-11,29,-0.7,0,0,1,0,2,0,0,37,2.7,477,12:14,19,42,247,223,52.6,fiddlve01
230,Vernon Fiddler,36,NSH,LW,20,1,0,1,-4,37,-0.3,1,0,0,0,0,0,0,11,9.1,210,10:31,14,15,123,93,56.9,fiddlve01
231,Valtteri Filppula,32,TOT,C,79,12,30,42,-1,26,3.7,12,0,0,1,23,7,0,97,12.4,1375,17:24,39,26,556,606,47.8,filppva01
231,Valtteri Filppula,32,TBL,C,59,7,27,34,1,24,2.9,7,0,0,1,20,7,0,74,9.5,1033,17:30,28,21,430,494,46.5,filppva01
231,Valtteri Filppula,32,PHI,C,20,5,3,8,-2,2,0.8,5,0,0,0,3,0,0,23,21.7,343,17:08,11,5,126,112,52.9,filppva01
232,Christian Fischer,19,ARI,RW,7,3,0,3,0,0,0.5,3,0,0,1,0,0,0,10,30,86,12:20,0,9,0,0,,fischch01
233,Mike Fisher,36,NSH,C,72,18,24,42,1,55,4.7,11,7,0,3,14,10,0,120,15,1196,16:37,64,160,703,577,54.9,fishemi01
234,Brian Flynn,28,MTL,C,51,6,4,10,2,4,0.8,6,0,0,0,4,0,0,47,12.8,615,12:04,29,20,69,80,46.3,flynnbr01
235,Marcus Foligno,25,BUF,LW,80,13,10,23,-1,73,2.1,12,0,1,0,10,0,0,97,13.4,1238,15:28,57,279,1,4,20,foligma01
236,Nick Foligno,29,CBJ,LW,79,26,25,51,-4,55,5.9,15,11,0,5,15,10,0,185,14.1,1456,18:26,50,157,41,48,46.1,foligni01
237,Christian Folin,25,MIN,D,51,2,6,8,10,26,2.3,2,0,0,0,6,0,0,39,5.1,762,14:56,59,69,0,0,,folinch01
238,Derek Forbort,24,LAK,D,82,2,16,18,8,54,5.6,2,0,0,0,15,0,1,100,2,1650,20:07,159,180,1,0,100,forbode01
239,Jakob Forsbacka Karlsson,20,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8:25,0,0,1,1,50,forsbja01
240,Filip Forsberg,22,NSH,LW,82,31,27,58,-4,32,7.2,25,3,3,9,21,6,0,234,13.2,1518,18:31,26,97,5,13,27.8,forsbfi01
241,Gustav Forsling,20,CHI,D,38,2,3,5,3,4,1.3,2,0,0,0,2,1,0,48,4.2,563,14:49,17,16,0,0,,forslgu02
242,Cam Fowler,25,ANA,D,80,11,28,39,7,20,8.3,5,5,1,3,17,10,1,186,5.9,1988,24:51:00,134,29,0,0,,fowleca01
243,Cody Franson,29,BUF,D,68,3,16,19,-5,34,3.6,2,1,0,0,15,1,0,93,3.2,1257,18:29,68,87,0,0,,fransco01
244,Martin Frk,23,CAR,RW,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0,17,8:20,1,3,0,0,,frkma01
245,Byron Froese,25,TOT,C,6,0,0,0,-3,5,-0.2,0,0,0,0,0,0,0,6,0,63,10:33,4,3,26,30,46.4,froesby01
245,Byron Froese,25,TBL,C,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0,47,11:49,3,3,19,17,52.8,froesby01
245,Byron Froese,25,TOR,C,2,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,16,8:01,1,0,7,13,35,froesby01
246,Michael Frolik,28,CGY,RW,82,17,27,44,13,58,4.9,12,3,2,1,21,5,1,202,8.4,1401,17:05,48,60,13,16,44.8,frolimi01
247,Marián Gáborík,34,LAK,RW,56,10,11,21,-4,18,2.2,7,3,0,3,9,2,0,123,8.1,828,14:47,15,21,0,1,0,gaborma01
248,Kurtis Gabriel,23,MIN,RW,13,0,1,1,0,29,0,0,0,0,0,1,0,0,3,0,76,5:49,1,26,0,0,,gabriku01
249,Sam Gagner,27,CBJ,C,81,18,32,50,10,22,6.1,10,8,0,1,22,10,0,178,10.1,1111,13:43,16,22,202,223,47.5,gagnesa01
250,Alex Galchenyuk,22,MTL,C,61,17,27,44,-5,24,4.9,11,6,0,6,18,9,0,104,16.3,972,15:56,32,36,274,368,42.7,galchal01
251,Brendan Gallagher,24,MTL,RW,64,10,19,29,7,39,3,9,1,0,2,17,2,0,187,5.3,966,15:06,15,69,30,44,40.5,gallabr01
252,Ryan Garbutt,31,ANA,LW,27,2,1,3,-3,20,0,2,0,0,1,0,0,1,26,7.7,247,9:10,12,53,7,4,63.6,garbury01
253,Jake Gardiner,26,TOR,D,82,9,34,43,24,34,8.7,7,2,0,2,23,11,0,127,7.1,1766,21:32,83,69,0,0,,gardija01
254,Jason Garrison,32,TBL,D,70,1,8,9,-8,14,1.8,1,0,0,0,8,0,0,96,1,1300,18:34,91,93,0,0,,garrija01
255,Tyler Gaudet,23,ARI,C,4,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,52,12:59,1,3,14,21,40,gaudety01
256,Frederick Gaudreau,23,NSH,C,9,0,1,1,1,0,0,0,0,0,0,1,0,0,8,0,78,8:40,5,1,4,8,33.3,gaudrfr01
257,Johnny Gaudreau,23,CGY,LW,72,18,43,61,-7,4,6.1,14,4,0,3,31,12,0,182,9.9,1331,18:29,14,9,0,0,,gaudrjo01
258,Brendan Gaunce,22,VAN,LW,57,0,5,5,-2,33,-0.3,0,0,0,0,5,0,0,51,0,541,9:29,12,94,84,80,51.2,gauncbr01
259,Cameron Gaunce,26,PIT,D,12,1,3,4,1,13,0.6,1,0,0,0,3,0,0,8,12.5,150,12:31,10,23,0,0,,gauncca01
260,Frederik Gauthier,21,TOR,C,21,2,1,3,2,23,0.3,2,0,0,0,1,0,0,15,13.3,204,9:42,17,17,120,115,51.1,gauthfr01
261,Luke Gazdic,27,NJD,LW,11,0,0,0,-2,12,-0.2,0,0,0,0,0,0,0,3,0,78,7:08,6,16,0,0,,gazdilu01
262,Eric Gelinas,25,COL,D,27,0,1,1,-4,12,0.2,0,0,0,0,1,0,0,29,0,313,11:35,16,32,0,1,0,geliner01
263,Ryan Getzlaf,31,ANA,C,74,15,58,73,7,49,7.6,7,6,2,3,43,14,1,138,10.9,1559,21:04,88,99,509,503,50.3,getzlry01
264,Tom Gilbert,34,LAK,D,18,1,4,5,-4,6,0.8,1,0,0,0,3,1,0,12,8.3,278,15:27,28,10,0,0,,gilbeto01
265,Brian Gionta,38,BUF,RW,82,15,20,35,-11,22,3,11,3,1,3,15,4,1,149,10.1,1362,16:36,30,54,46,60,43.4,giontbr01
266,Stephen Gionta,33,NYI,RW,26,1,5,6,9,2,0.6,1,0,0,0,5,0,0,17,5.9,291,11:12,7,56,56,64,46.7,giontst01
267,Mark Giordano,33,CGY,D,81,12,27,39,22,59,9.4,7,3,2,4,15,11,1,151,7.9,1910,23:35,184,78,0,0,,giordma01
268,Dan Girardi,32,NYR,D,63,4,11,15,8,16,3.3,3,0,1,3,10,0,1,56,7.1,1203,19:06,166,107,0,0,,girarda01
269,Zemgus Girgensons,23,BUF,C,75,7,9,16,-7,18,0.8,7,0,0,0,9,0,0,112,6.3,987,13:10,26,120,273,306,47.2,girgeze01
270,Claude Giroux,29,PHI,C,82,14,44,58,-15,38,4.9,9,5,0,3,17,26,1,199,7,1568,19:07,28,68,977,771,55.9,giroucl01
271,Tanner Glass,33,NYR,LW,11,1,1,2,0,17,0.1,1,0,0,0,1,0,0,8,12.5,120,10:55,4,37,2,0,100,glassta01
272,Luke Glendening,27,DET,C,74,3,11,14,-10,26,0,3,0,0,0,10,1,0,76,3.9,956,12:55,62,150,307,261,54,glendlu01
273,Nikolay Goldobin,21,TOT,RW,14,3,0,3,0,0,0.4,3,0,0,1,0,0,0,14,21.4,159,11:22,4,1,0,0,,goldoni01
273,Nikolay Goldobin,21,VAN,RW,12,3,0,3,1,0,0.5,3,0,0,1,0,0,0,10,30,140,11:38,3,0,0,0,,goldoni01
273,Nikolay Goldobin,21,SJS,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0,20,9:50,1,1,0,0,,goldoni01
274,Alex Goligoski,31,ARI,D,82,6,30,36,-9,28,5.9,4,1,1,0,22,7,1,112,5.4,1913,23:20,143,137,0,0,,goligal01
275,Cody Goloubef,27,COL,D,33,0,5,5,-11,25,0.4,0,0,0,0,5,0,0,35,0,561,16:59,33,30,0,0,,golouco01
276,Barclay Goodrow,23,SJS,RW,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,3,0,34,11:18,1,3,0,0,,goodrba01
277,Boyd Gordon,33,PHI,C,13,1,0,1,-5,2,-0.2,1,0,0,0,0,0,0,8,12.5,106,8:11,7,4,48,38,55.8,gordobo01
278,Josh Gorges,32,BUF,D,66,1,5,6,-3,50,2.1,1,0,0,0,5,0,0,40,2.5,1218,18:27,108,143,0,1,0,gorgejo01
279,Shayne Gostisbehere,23,PHI,D,76,7,32,39,-21,32,5.2,5,2,0,1,11,21,0,198,3.5,1489,19:36,94,43,0,0,,gostish01
280,Yanni Gourde,25,TBL,C,20,6,2,8,-1,8,1,5,0,1,1,2,0,0,30,20,307,15:22,3,11,60,103,36.8,gourdya01
281,Michael Grabner,29,NYR,RW,76,27,13,40,22,10,6.3,26,0,1,3,11,0,2,162,16.7,1071,14:06,34,41,7,6,53.8,grabnmi01
282,Petter Granberg,24,NSH,D,10,0,0,0,0,10,0.1,0,0,0,0,0,0,0,4,0,96,9:38,9,17,0,0,,granbpe01
283,Markus Granlund,23,VAN,C,69,19,13,32,-19,14,3.2,16,3,0,3,9,4,0,122,15.6,1194,17:19,11,32,40,61,39.6,granlma01
284,Mikael Granlund,24,MIN,C,81,26,43,69,23,12,8.5,16,7,3,4,29,13,1,177,14.7,1525,18:49,50,50,16,17,48.5,granlmi01
285,Derek Grant,26,TOT,C,46,0,4,4,-5,24,-0.5,0,0,0,0,4,0,0,40,0,449,9:46,29,27,200,183,52.2,grantde01
285,Derek Grant,26,BUF,C,40,0,3,3,-3,19,-0.4,0,0,0,0,3,0,0,34,0,397,9:55,25,25,172,159,52,grantde01
285,Derek Grant,26,NSH,C,6,0,1,1,-2,5,-0.1,0,0,0,0,1,0,0,6,0,52,8:41,4,2,28,24,53.8,grantde01
286,Tyler Graovac,23,MIN,C,52,7,2,9,7,10,1.1,7,0,0,2,2,0,0,48,14.6,512,9:50,15,52,163,180,47.5,graovty01
287,Kevin Gravel,24,LAK,D,49,1,6,7,3,6,2.3,0,1,0,0,5,1,0,52,1.9,693,14:09,65,73,0,0,,graveke01
288,Mike Green,31,DET,D,72,14,22,36,-20,40,5.8,11,3,0,2,15,7,0,125,11.2,1696,23:33,92,67,0,0,,greenmi03
289,Andy Greene,34,NJD,D,66,4,9,13,-16,8,2.5,2,1,1,1,6,3,0,83,4.8,1448,21:57,124,50,0,0,,greenan01
290,Matt Greene,33,LAK,D,26,1,1,2,3,19,1.2,1,0,0,0,1,0,0,14,7.1,343,13:11,27,71,0,0,,greenma01
291,A.J. Greer,20,COL,LW,5,0,1,1,-2,4,-0.1,0,0,0,0,1,0,0,8,0,68,13:39,3,4,0,0,,greeraj01
292,Alexandre Grenier,25,VAN,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,19,6:29,0,3,2,0,100,grenial01
293,Seth Griffith,24,TOT,C,24,0,5,5,6,8,0.3,0,0,0,0,4,1,0,21,0,306,12:44,5,30,2,6,25,griffse01
293,Seth Griffith,24,FLA,C,21,0,5,5,6,8,0.4,0,0,0,0,4,1,0,18,0,277,13:12,5,27,2,6,25,griffse01
293,Seth Griffith,24,TOR,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0,28,9:28,0,3,0,0,,griffse01
294,Mikhail Grigorenko,22,COL,C,75,10,13,23,-14,18,1.6,10,0,0,0,9,4,0,85,11.8,1057,14:05,26,27,111,81,57.8,grigomi01
295,Rocco Grimaldi,23,COL,C,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,11,0,44,11:00,4,1,0,0,,grimaro01
296,Nicklas Grossmann,32,CGY,D,3,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,3,0,39,13:01,1,7,0,0,,grossni01
297,Eric Gryba,28,EDM,D,40,2,4,6,-5,65,1,2,0,0,2,4,0,0,45,4.4,646,16:08,47,145,0,0,,grybaer01
298,Matt Grzelcyk,23,BOS,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,25,12:29,1,0,0,0,,grzelma01
299,Radko Gudas,26,PHI,D,67,6,17,23,8,93,5.5,6,0,0,0,16,1,0,113,5.3,1293,19:18,124,280,0,0,,gudasra01
300,Erik Gudbranson,25,VAN,D,30,1,5,6,-14,18,0.5,1,0,0,1,5,0,0,40,2.5,610,20:20,44,66,0,0,,gudbrer01
301,Jake Guentzel,22,PIT,C,40,16,17,33,7,10,4.4,15,1,0,0,15,2,0,81,19.8,635,15:53,18,61,8,8,50,guentja01
302,Brendan Guhle,19,BUF,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,0,49,16:21,8,3,0,0,,guhlebr01
303,Carl Gunnarsson,30,STL,D,56,0,6,6,-5,4,1,0,0,0,0,6,0,0,32,0,761,13:36,68,42,0,0,,gunnaca01
304,Denis Gurianov,19,DAL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,13:06,3,1,0,0,,guriade01
305,Carl Hagelin,28,PIT,LW,61,6,16,22,10,16,1.5,6,0,0,2,15,0,1,128,4.7,945,15:29,24,66,3,3,50,hagelca01
306,Robert Hagg,21,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,21:19,3,4,0,0,,haggro01
307,Ron Hainsey,35,TOT,D,72,4,13,17,-8,21,3.2,3,0,1,1,11,0,2,71,5.6,1586,22:02,120,93,0,0,,hainsro01
307,Ron Hainsey,35,CAR,D,56,4,10,14,-16,17,2.2,3,0,1,1,9,0,1,62,6.5,1250,22:20,92,79,0,0,,hainsro01
307,Ron Hainsey,35,PIT,D,16,0,3,3,8,4,1,0,0,0,0,2,0,1,9,0,336,21:00,28,14,0,0,,hainsro01
308,Micheal Haley,30,SJS,C,58,2,10,12,6,128,1,2,0,0,1,10,0,0,37,5.4,532,9:11,23,129,66,83,44.3,haleymi01
309,Taylor Hall,25,NJD,LW,72,20,33,53,-9,32,5.9,13,7,0,4,25,8,0,238,8.4,1392,19:20,31,59,8,10,44.4,hallta02
310,Dan Hamhuis,34,DAL,D,79,1,15,16,-7,23,2.2,0,1,0,0,13,0,2,83,1.2,1529,19:22,100,93,0,0,,hamhuda01
311,Dougie Hamilton,23,CGY,D,81,13,37,50,12,64,9.5,11,2,0,5,24,12,1,222,5.9,1594,19:41,94,68,0,0,,hamildo01
312,Freddie Hamilton,25,CGY,C,26,2,0,2,-3,8,-0.1,2,0,0,1,0,0,0,30,6.7,254,9:47,1,46,75,51,59.5,hamilfr01
313,Travis Hamonic,26,NYI,D,49,3,11,14,-21,60,0.6,3,0,0,0,10,1,0,74,4.1,1002,20:27,108,58,0,0,,hamontr01
