Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
driessh01,207,Sheldon Dries,24.5,COL,C,22.5,1.5,1.5,3.0,-4.5,13.0,-0.05,1.0,0.0,0.5,0.0,1.5,0.0,0.0,23.0,3.4
ellisry01,208,Ryan Ellis,27.0,NSH,D,65.0,10.0,26.2,36.2,18.6,21.8,7.640000000000001,7.0,2.4,0.6,2.4,20.2,5.0,1.0,133.0,7.58
dubedi01,209,Dillon Dube,20.5,CGY,C,35.0,3.5,7.0,10.5,1.0,5.0,0.7999999999999999,3.0,0.5,0.0,1.0,6.5,0.5,0.0,41.0,7.25
emelial01,210,Alexei Emelin,30.0,NSH,D,74.66666666666667,1.0,9.333333333333334,10.333333333333334,1.0,60.666666666666664,2.566666666666667,1.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,70.66666666666667,1.3666666666666665
duboipi01,210,Pierre-Luc Dubois,20.0,CBJ,LW,78.0,21.666666666666668,31.0,52.666666666666664,7.333333333333333,54.0,5.733333333333333,18.666666666666668,3.0,0.0,4.333333333333333,22.666666666666668,8.333333333333334,0.0,165.66666666666666,13.0
engelde01,211,Deryk Engelland,35.0,VEG,D,70.4,3.0,10.8,13.8,3.6,43.6,3.1,3.0,0.0,0.0,0.8,10.4,0.0,0.4,90.0,3.22
ennisty01,212,Tyler Ennis,28.0,TOT,C,53.6,8.8,11.4,20.2,-6.4,11.4,1.6,6.6,2.2,0.0,1.2,8.6,2.8,0.0,100.2,8.559999999999999
enstrto01,213,Toby Enström,32.0,WPG,D,58.333333333333336,1.3333333333333333,10.666666666666666,12.0,3.0,35.333333333333336,2.2333333333333334,1.0,0.0,0.3333333333333333,0.0,8.333333333333334,2.3333333333333335,0.0,42.333333333333336,3.1333333333333333
ericsjo01,214,Jonathan Ericsson,33.0,DET,D,54.6,2.0,6.4,8.4,-5.8,41.0,1.8,2.0,0.0,0.0,0.2,6.2,0.0,0.2,52.2,3.3
erikslo01,215,Loui Eriksson,32.0,VAN,LW,65.4,13.6,16.8,30.4,-1.8,11.6,2.9799999999999995,9.8,3.2,0.6,1.6,13.4,2.8,0.6,116.6,11.0
eriksjo02,215,Joel Eriksson Ek,21.5,MIN,C,52.5,6.0,10.5,16.5,0.75,17.0,1.125,5.75,0.25,0.0,1.75,10.25,0.0,0.25,88.0,9.725
