Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Milan Lucic,LW,lucicmi01,1,459,24.0,73.4,21.0,29.6,50.6,17.2,100.6,6.459999999999999,17.6,3.4,0.0,3.4,23.6,6.0,0.0,139.0,14.419999999999998
Michael Latta,C,lattami01,0,461,22.5,35.0,0.5,4.5,5.0,2.0,40.0,0.2,0.5,0.0,0.0,0.0,4.5,0.0,0.0,15.0,8.35
Joffrey Lupul,LW,lupuljo01,1,462,29.0,52.0,16.4,19.8,36.2,-5.4,32.6,4.12,11.8,4.6,0.0,2.0,14.0,5.8,0.0,130.0,14.4
Jori Lehtera,C,lehtejo01,1,463,27.0,75.0,14.0,30.0,44.0,21.0,48.0,5.3,11.0,2.0,1.0,2.0,24.0,5.0,1.0,103.0,13.6
Clarke MacArthur,LW,macarcl01,1,464,27.0,67.2,17.8,25.4,43.2,1.8,42.8,4.9,12.6,5.0,0.2,3.6,18.6,6.4,0.4,132.6,13.3
Steve MacIntyre,LW,macinst01,0,468,31.0,15.666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,37.0,-0.06666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0
Derek MacKenzie,C,mackede01,0,469,31.0,65.0,6.6,8.2,14.8,0.4,38.0,1.18,5.2,0.4,1.0,0.6,7.4,0.2,0.6,62.4,10.440000000000001
Joakim Lindstrom,C,lindsjo01,0,471,29.5,34.5,3.0,4.5,7.5,-12.0,6.0,0.05,1.5,1.5,0.0,0.0,3.0,1.5,0.0,41.5,7.85
John Madden,C,maddejo01,0,471,37.5,53.5,7.5,6.5,14.0,-6.5,7.0,0.85,6.5,0.5,0.5,2.5,6.0,0.5,0.0,70.0,10.149999999999999
Lucas Lessio,LW,lessilu01,0,471,21.5,14.5,1.0,1.5,2.5,-6.0,5.0,-0.1,1.0,0.0,0.0,0.0,1.5,0.0,0.0,24.0,2.25
Adam Mair,C,mairad01,0,473,31.0,65.0,1.0,3.0,4.0,-16.0,45.0,-0.9,1.0,0.0,0.0,0.0,3.0,0.0,0.0,58.0,1.7
Manny Malhotra,C,malhoma01,0,474,32.0,57.2,5.2,7.8,13.0,-2.2,13.2,0.64,4.4,0.6,0.2,1.2,6.8,0.6,0.4,54.4,7.4
Evgeni Malkin,C,malkiev01,1,475,26.0,55.6,25.0,39.2,64.2,5.4,49.2,8.28,17.6,7.4,0.0,4.4,22.2,17.0,0.0,204.6,11.44
Ryan Malone,LW,malonry01,0,476,33.0,41.8,9.0,12.8,21.8,-5.6,45.2,2.0,5.6,3.2,0.2,0.8,8.4,4.4,0.0,86.2,8.959999999999999
Mark Mancari,RW,mancama01,0,477,25.5,13.0,0.5,3.5,4.0,-0.5,6.0,0.2,0.0,0.5,0.0,0.0,3.0,0.5,0.0,24.0,1.15
Elias Lindholm,C,lindhel01,1,478,19.5,69.5,13.0,17.0,30.0,-18.5,9.0,2.55,9.0,4.0,0.0,3.0,10.0,7.0,0.0,120.0,11.45
Brad Marchand,LW,marchbr03,1,479,24.0,71.4,23.2,22.2,45.4,24.0,64.8,6.58,17.4,2.8,3.0,4.0,20.8,0.6,0.8,147.2,16.160000000000004
